"metric_name","Description","frequency","freq_label","n_coverages","coverages","temporal_agg","temporal_reason","coverage_agg","coverage_reason"
"Patients in A&E","Current total number of patients in minors, majors, (all A&E) those who do not have an Accident and Emergency departure time recorded.",15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","mean","Point-in-time snapshot; daily mean captures average load throughout the day.","sum","Count or volume metric; summing across sites gives the system-wide total."
"4hr Breach Performance","Live 4 hour breach performance today since midnight, this will not have been subject to daily validation procedures usually undertaken the following day. Likely that this performance will be below the validated position.",15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","mean","Rate or percentage; daily mean reflects average performance over the day.","mean","Rate, average, or percentage; mean across sites approximates the system-wide value (weighted mean preferred if volumes available)."
"Total Breaches Since Midnight","This relates to the 4 hour breach performance and is the number of 4 hour breaches since midnight so far today.",15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","sum","Count or volume metric; summing across sites gives the system-wide total."
"No. of DTAs","Total number of DTAs currently in the A&E. A PATIENT temporarily accommodated in A&E or elsewhere for whom a DECISION TO ADMIT has been made.",15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","mean","Point-in-time snapshot; daily mean captures average load throughout the day.","sum","Count or volume metric; summing across sites gives the system-wide total."
"Average Time to Triage",NA,15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","mean","Time or average metric; daily mean represents typical performance across the day.","mean","Rate, average, or percentage; mean across sites approximates the system-wide value (weighted mean preferred if volumes available)."
"Average Time to Assessment",NA,15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","mean","Time or average metric; daily mean represents typical performance across the day.","mean","Rate, average, or percentage; mean across sites approximates the system-wide value (weighted mean preferred if volumes available)."
"New Arrivals in Last Hour","Count of patients within the last hour, who have an arrived at Accident and Emergency Department where the time the PATIENT: •self presented at the Accident and Emergency Department or •arrived in an Ambulance at the Accident and Emergency Department.",15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","sum","Flow count over a rolling window; summing intervals gives the daily total.","sum","Count or volume metric; summing across sites gives the system-wide total."
"Resuscitation Capacity","The number of allocated resuscitation bays not occupied",15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","mean","Point-in-time snapshot; daily mean captures average load throughout the day.","sum","Count or volume metric; summing across sites gives the system-wide total."
"A&E Discharges in Last Hour","Within the last hour, count of how many patients have an Accident and Emergency Departure Time. Where a  PATIENT leaves an Accident and Emergency Department after an Accident and Emergency Attendance has concluded.",15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","sum","Flow count over a rolling window; summing intervals gives the daily total.","sum","Count or volume metric; summing across sites gives the system-wide total."
"Minors patient count",NA,15,"Every 15 minutes",4,"BRI (Children's), NBT, BRI, WGH","mean","Point-in-time snapshot; daily mean captures average load throughout the day.","sum","Count or volume metric; summing across sites gives the system-wide total."
